日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2017-10-20,'000001,上证指数,3378.6481,3379.7652,3360.1001,3363.5138,3370.1721,8.476,0.2515,127172851,1.55065093862e+11
2017-10-19,'000001,上证指数,3370.1721,3378.7359,3359.6284,3374.6444,3381.7937,-11.6216,-0.3437,158476495,1.8792129231e+11
2017-10-18,'000001,上证指数,3381.7937,3383.2323,3371.9249,3373.5281,3372.0407,9.753,0.2892,157228791,1.94298766689e+11
2017-10-17,'000001,上证指数,3372.0407,3382.4072,3365.5646,3373.2342,3378.4704,-6.4297,-0.1903,125381725,1.62910828164e+11
2017-10-16,'000001,上证指数,3378.4704,3400.5113,3374.7687,3393.2055,3390.5233,-12.0529,-0.3555,174330620,2.21650689763e+11
2017-10-13,'000001,上证指数,3390.5233,3395.7484,3383.2392,3384.4883,3386.1,4.4233,0.1306,139954764,1.81118458173e+11
2017-10-12,'000001,上证指数,3386.1,3390.2036,3372.5331,3385.5329,3388.2838,-2.1838,-0.0645,161809380,2.01667864058e+11
2017-10-11,'000001,上证指数,3388.2838,3395.7794,3379.1634,3381.488,3382.9879,5.2959,0.1565,181476704,2.31154505949e+11
2017-10-10,'000001,上证指数,3382.9879,3384.0262,3358.7953,3373.3446,3374.3781,8.6098,0.2552,179423841,2.31148615058e+11
2017-10-09,'000001,上证指数,3374.3781,3410.1704,3366.965,3403.2458,3348.9431,25.435,0.7595,191736057,2.27440593874e+11
2017-09-29,'000001,上证指数,3348.9431,3357.0154,3340.3109,3340.3109,3339.6421,9.301,0.2785,144862443,1.75892822952e+11
2017-09-28,'000001,上证指数,3339.6421,3344.6005,3336.1784,3343.8446,3345.2717,-5.6296,-0.1683,149444300,1.81955627406e+11
2017-09-27,'000001,上证指数,3345.2717,3349.6949,3340.2989,3340.8219,3343.5826,1.6891,0.0505,143086945,1.68981337689e+11
2017-09-26,'000001,上证指数,3343.5826,3347.1629,3332.5985,3336.3497,3341.5487,2.0339,0.0609,132628595,1.59039634038e+11
2017-09-25,'000001,上证指数,3341.5487,3350.9612,3334.9438,3344.5886,3352.5294,-10.9807,-0.3275,169621293,2.02401690547e+11
2017-09-22,'000001,上证指数,3352.5294,3356.4514,3334.9846,3347.1569,3357.8123,-5.2829,-0.1573,179234007,2.06583469029e+11
2017-09-21,'000001,上证指数,3357.8123,3377.8844,3356.8754,3364.6977,3365.9959,-8.1836,-0.2431,197448695,2.31946124431e+11
2017-09-20,'000001,上证指数,3365.9959,3370.0978,3346.5356,3352.1848,3356.8446,9.1513,0.2726,192196661,2.25839069303e+11
2017-09-19,'000001,上证指数,3356.8446,3370.4009,3344.7054,3365.5315,3362.8587,-6.0141,-0.1788,191129691,2.20728730019e+11
2017-09-18,'000001,上证指数,3362.8587,3371.7486,3352.5134,3352.5134,3353.6192,9.2395,0.2755,190319676,2.27938635395e+11
2017-09-15,'000001,上证指数,3353.6192,3365.5277,3345.3283,3365.1454,3371.4256,-17.8064,-0.5282,219765816,2.52910687798e+11
2017-09-14,'000001,上证指数,3371.4256,3391.6435,3361.3335,3383.47,3384.147,-12.7214,-0.3759,221306487,2.56744421274e+11
2017-09-13,'000001,上证指数,3384.147,3387.1397,3366.5412,3374.7185,3379.488,4.659,0.1379,194550715,2.30733408867e+11
2017-09-12,'000001,上证指数,3379.488,3391.0694,3370.8519,3381.487,3376.4188,3.0692,0.0909,272910319,3.25024951982e+11
2017-09-11,'000001,上证指数,3376.4188,3384.81,3360.0462,3365.3506,3365.2426,11.1762,0.3321,219011019,2.56888810547e+11
2017-09-08,'000001,上证指数,3365.2426,3380.8898,3353.6876,3364.4275,3365.4974,-0.2548,-0.0076,198405184,2.35160227356e+11
2017-09-07,'000001,上证指数,3365.4974,3387.7956,3363.1765,3383.6281,3385.3888,-19.8914,-0.5876,221118685,2.64037023512e+11
2017-09-06,'000001,上证指数,3385.3888,3391.0105,3364.7645,3372.4277,3384.317,1.0718,0.0317,229090785,2.62034653491e+11
2017-09-05,'000001,上证指数,3384.317,3390.8233,3371.5706,3377.1968,3379.583,4.734,0.1401,216552946,2.45596608276e+11
2017-09-04,'000001,上证指数,3379.583,3381.4027,3359.1309,3369.7185,3367.1194,12.4636,0.3702,267427849,2.96348432251e+11
2017-09-01,'000001,上证指数,3367.1194,3381.9252,3358.4724,3365.9913,3360.8103,6.3091,0.1877,282497584,3.13722092738e+11
2017-08-31,'000001,上证指数,3360.8103,3367.3581,3340.6865,3361.4621,3363.6266,-2.8163,-0.0837,234419781,2.69133107793e+11
2017-08-30,'000001,上证指数,3363.6266,3376.6481,3357.0803,3361.8207,3365.2261,-1.5995,-0.0475,246863312,2.79640796622e+11
2017-08-29,'000001,上证指数,3365.2261,3374.5947,3354.4627,3362.0604,3362.6514,2.5747,0.0766,219504535,2.68916094847e+11
2017-08-28,'000001,上证指数,3362.6514,3375.0339,3336.1264,3336.1264,3331.5221,31.1293,0.9344,257461438,3.05319883095e+11
2017-08-25,'000001,上证指数,3331.5221,3331.9146,3271.4608,3271.4608,3271.5117,60.0104,1.8343,205839482,2.27141029378e+11
2017-08-24,'000001,上证指数,3271.5117,3297.9886,3266.3589,3287.9594,3287.7049,-16.1932,-0.4925,163468937,1.86245056566e+11
2017-08-23,'000001,上证指数,3287.7049,3299.4572,3274.4404,3283.7966,3290.2257,-2.5208,-0.0766,179832208,2.04330421446e+11
2017-08-22,'000001,上证指数,3290.2257,3293.476,3274.941,3287.6147,3286.9055,3.3202,0.101,186537991,2.22927491486e+11
2017-08-21,'000001,上证指数,3286.9055,3287.5186,3270.4753,3274.5805,3268.7243,18.1812,0.5562,186122483,2.09718592884e+11
2017-08-18,'000001,上证指数,3268.7243,3275.0763,3248.0833,3253.2434,3268.4298,0.2945,0.009,191122483,2.18437740745e+11
2017-08-17,'000001,上证指数,3268.4298,3269.1389,3251.4593,3253.8455,3246.4512,21.9786,0.677,203622551,2.2837694421e+11
2017-08-16,'000001,上证指数,3246.4512,3248.785,3228.8705,3247.8525,3251.2617,-4.8105,-0.148,176852051,2.00832533704e+11
2017-08-15,'000001,上证指数,3251.2617,3263.5892,3235.1013,3235.2298,3237.3602,13.9015,0.4294,182297997,2.04595858616e+11
2017-08-14,'000001,上证指数,3237.3602,3240.0517,3206.0436,3206.0436,3208.5413,28.8189,0.8982,190346796,2.09096078748e+11
2017-08-11,'000001,上证指数,3208.5413,3245.1163,3200.7481,3237.9222,3261.7494,-53.2081,-1.6313,262962995,2.6699826238e+11
2017-08-10,'000001,上证指数,3261.7494,3282.519,3236.1829,3269.7347,3275.573,-13.8236,-0.422,240684622,2.51854039692e+11
2017-08-09,'000001,上证指数,3275.573,3277.9433,3263.8468,3277.8083,3281.8728,-6.2998,-0.192,235597907,2.37815125492e+11
2017-08-08,'000001,上证指数,3281.8728,3285.4833,3269.6582,3277.1887,3279.4566,2.4162,0.0737,252043537,2.55770184456e+11
2017-08-07,'000001,上证指数,3279.4566,3280.1035,3243.7153,3257.67,3262.0809,17.3757,0.5327,231173379,2.31874371766e+11
2017-08-04,'000001,上证指数,3262.0809,3287.1929,3261.3066,3269.3182,3272.9286,-10.8477,-0.3314,275906340,2.85634760381e+11
2017-08-03,'000001,上证指数,3272.9286,3293.3686,3262.1554,3279.9864,3285.0568,-12.1282,-0.3692,233277004,2.43549542715e+11
2017-08-02,'000001,上证指数,3285.0568,3305.4313,3282.0377,3288.5183,3292.6383,-7.5815,-0.2303,266730628,2.79352341794e+11
2017-08-01,'000001,上证指数,3292.6383,3292.6383,3273.5038,3274.3685,3273.0283,19.61,0.5991,237194594,2.56419942206e+11
2017-07-31,'000001,上证指数,3273.0283,3276.9461,3251.1941,3252.7519,3253.2404,19.7879,0.6083,246039440,2.53525920802e+11
2017-07-28,'000001,上证指数,3253.2404,3256.3706,3232.9634,3240.1728,3249.7814,3.459,0.1064,182226880,1.98428584091e+11
2017-07-27,'000001,上证指数,3249.7814,3251.9261,3220.6366,3243.765,3247.6748,2.1066,0.0649,228485945,2.4257208146e+11
2017-07-26,'000001,上证指数,3247.6748,3264.8483,3228.0389,3244.4608,3243.6894,3.9854,0.1229,213542005,2.28460518517e+11
2017-07-25,'000001,上证指数,3243.6894,3261.6454,3233.1376,3249.1376,3250.5989,-6.9095,-0.2126,205573873,2.13405498975e+11
2017-07-24,'000001,上证指数,3250.5989,3261.1046,3230.0705,3230.898,3237.9817,12.6172,0.3897,233056399,2.50631194263e+11
2017-07-21,'000001,上证指数,3237.9817,3247.7122,3231.9556,3236.5881,3244.8647,-6.883,-0.2121,206003251,2.2195690991e+11
2017-07-20,'000001,上证指数,3244.8647,3246.236,3225.4328,3227.5056,3230.9762,13.8885,0.4299,232108392,2.45825421933e+11
2017-07-19,'000001,上证指数,3230.9762,3232.9408,3179.73,3181.4015,3187.5672,43.409,1.3618,272420726,2.69771019587e+11
2017-07-18,'000001,上证指数,3187.5672,3187.671,3150.1284,3159.7318,3176.4648,11.1024,0.3495,190623060,1.96452361519e+11
2017-07-17,'000001,上证指数,3176.4648,3230.354,3139.5035,3219.7914,3222.4168,-45.952,-1.426,266205274,2.74653250098e+11
2017-07-14,'000001,上证指数,3222.4168,3222.9784,3204.8529,3212.0316,3218.1632,4.2536,0.1322,160126773,1.74312138191e+11
2017-07-13,'000001,上证指数,3218.1632,3219.2683,3190.3393,3192.3615,3197.5439,20.6193,0.6448,195303611,2.10820896339e+11
2017-07-12,'000001,上证指数,3197.5439,3215.1962,3177.9346,3201.9292,3203.0375,-5.4936,-0.1715,186900880,2.01799622184e+11
2017-07-11,'000001,上证指数,3203.0375,3226.908,3199.2235,3201.5169,3212.6319,-9.5944,-0.2986,187837262,2.05493366275e+11
2017-07-10,'000001,上证指数,3212.6319,3223.3402,3203.2089,3208.4627,3217.9567,-5.3248,-0.1655,198928010,2.22828311758e+11
2017-07-07,'000001,上证指数,3217.9567,3219.5232,3195.2905,3203.8225,3212.444,5.5127,0.1716,176715416,2.01938313218e+11
